date,y
GMW000000035703001,436856.55272971286
GMW000000035704001,434239.69559935987
GMW000000035705001,437164.9507679644
GMW000000035706001,434156.30482642417
GMW000000035707001,436135.4559116242
GMW000000035708001,434294.2056664985
GMW000000035709001,436322.3540872418
GMW000000035710001,434321.60390101816
GMW000000035711001,437489.8487982329
GMW000000035712001,434701.8162149023
GMW000000035713001,431827.5428115931
GMW000000035714001,437110.15190537524
GMW000000035715001,434592.6975707079
GMW000000035716001,437102.7498444304
GMW000000035717001,434637.3955315558
GMW000000035718001,433610.0502796369
GMW000000035719001,441414.1195269162
GMW000000035720001,433962.35281836404
GMW000000035721001,441080.2163992316
GMW000000035722001,437265.11105396686
GMW000000035723001,432420.34364409896
GMW000000035724001,439370.11043479736
GMW000000035725001,436580.44957034645
GMW000000035726001,441973.22064092313
GMW000000035727001,436422.3508960257
GMW000000035728001,432806.49430179736
GMW000000035729001,433789.8515953907
GMW000000035730001,441265.6167357581
GMW000000035731001,435648.35525538254
GMW000000035732001,441655.4176410395
GMW000000035733001,437384.44768716453
GMW000000035734001,436872.64959410735
GMW000000035735001,432847.387127443
GMW000000035736001,437184.6479668141
GMW000000035737001,432814.2856040431
GMW000000035738001,437480.8195881962
GMW000000035739001,439833.63213338004
GMW000000035740001,438039.32048582885
GMW000000035741001,439964.6311323948
GMW000000035742001,438000.5194225618
GMW000000035743001,439514.63439852727
GMW000000035744001,437437.31961172493
GMW000000035745001,439397.7347858384
GMW000000035746001,438178.7221847616
GMW000000035747001,436654.5540156523
GMW000000035748001,431683.3028474306
GMW000000035749001,436281.95678413205
GMW000000035750001,432410.5040223769
GMW000000035751001,436866.45386153227
GMW000000035752001,437897.6209223804
GMW000000035753001,436853.1540928529
GMW000000035754001,440961.0216520258
GMW000000035755001,436305.9563625166
GMW000000035756001,432699.2956343685
GMW000000035757001,437352.95038183924
GMW000000035758001,432454.59658289433
GMW000000035759001,437140.852075484
GMW000000035760001,433401.3963445242
GMW000000035761001,439352.8375573623
GMW000000035762001,434137.7033079676
GMW000000035763001,436033.6554026657
GMW000000035764001,434244.097003518
GMW000000035765001,439123.43833045434
GMW000000035766001,434042.40628650243
GMW000000035767001,438986.83950770606
GMW000000035768001,434107.90410200687
GMW000000035769001,436514.5545635606
GMW000000035770001,433938.40578528075
GMW000000035771001,436690.2537032962
GMW000000035772001,433860.8051663562
GMW000000035773001,435618.55772942124
GMW000000035774001,434144.8006872123
GMW000000035775001,436805.632145529
GMW000000035776001,434030.5021378398
GMW000000035777001,436108.9569522771
GMW000000035778001,437164.74745653966
GMW000000035779001,437275.34687188955
GMW000000035780001,436982.3505563333
GMW000000035781001,437119.4482115564
GMW000000035782001,438970.03994758177
GMW000000035783001,438621.04056753445
GMW000000035784001,438189.4436592699
GMW000000035785001,438888.4392790516
GMW000000035786001,438568.3395919034
GMW000000035787001,440158.93265639717
GMW000000035788001,441775.6166322225
GMW000000035789001,441807.816862863
