date,x
GMW000000035500001,93937.00954451498
GMW000000035501001,93101.51842046558
GMW000000035502001,93066.16770967055
GMW000000035503001,93057.92717586199
GMW000000035504001,94716.80251712786
GMW000000035505001,85182.31658069757
GMW000000035506001,94801.31478446443
GMW000000035507001,85230.86683035876
GMW000000035508001,94810.38491685962
GMW000000035509001,85149.16738761737
GMW000000035510001,94795.36472250907
GMW000000035511001,85097.74763323227
GMW000000035512001,94247.15973456184
GMW000000035513001,94425.27223416042
GMW000000035514001,85251.90643179539
GMW000000035515001,94479.7821929184
GMW000000035516001,85336.26675918922
GMW000000035517001,85088.65767461692
GMW000000035518001,94465.82260720404
GMW000000035519001,78653.44887522003
GMW000000035520001,94823.2251140471
GMW000000035521001,77554.53583474188
GMW000000035522001,94110.91857196964
GMW000000035523001,84265.12404620023
GMW000000035524001,94790.29500720206
GMW000000035525001,83499.5402229995
GMW000000035526001,94751.60483453024
GMW000000035527001,94733.23716346218
GMW000000035528001,94803.77532064375
GMW000000035529001,76429.09696790874
GMW000000035530001,94781.64534373433
GMW000000035531001,75579.76473272944
GMW000000035532001,94822.88816893895
GMW000000035533001,94345.06533893288
GMW000000035534001,94582.91600419476
GMW000000035535001,94844.80054982568
GMW000000035536001,94686.48912189741
GMW000000035537001,94073.43209889307
GMW000000035538001,94635.98918419992
GMW000000035539001,94234.02219795182
GMW000000035540001,94255.38348721815
GMW000000035541001,93887.53564835615
GMW000000035542001,94253.79296858623
GMW000000035543001,93804.45006224158
GMW000000035544001,99488.32468175428
GMW000000035545001,93148.82858562961
GMW000000035546001,98945.6766882815
GMW000000035547001,92020.10620150622
GMW000000035548001,94115.62265456331
GMW000000035549001,93022.59488497017
GMW000000035550001,100537.76832684176
GMW000000035551001,93069.49606298085
GMW000000035552001,97464.52598706214
GMW000000035553001,92754.91072056681
GMW000000035554001,97457.92559502285
GMW000000035555001,92319.31051296002
GMW000000035556001,97233.99216879203
GMW000000035557001,92989.7902850045
GMW000000035558001,97577.23530180706
GMW000000035559001,92146.61968791415
GMW000000035560001,97601.79002619648
GMW000000035561001,97575.93876268846
GMW000000035562001,92650.81010451057
GMW000000035563001,97539.62947914968
GMW000000035564001,92363.06985469343
GMW000000035565001,92547.5006333582
GMW000000035566001,97479.09999746236
GMW000000035567001,92076.47252248207
GMW000000035568001,97344.97939386178
GMW000000035569001,92248.03167916683
GMW000000035570001,97690.74120692979
GMW000000035571001,92201.01035336059
GMW000000035572001,97269.87373894779
GMW000000035573001,92750.74307634395
GMW000000035574001,96748.29212930551
GMW000000035575001,92304.98246804037
GMW000000035576001,96232.63000038054
GMW000000035577001,97543.56033294153
GMW000000035578001,92583.11376323766
GMW000000035579001,96039.87770925937
GMW000000035580001,92144.05265144887
GMW000000035581001,93574.87087003437
GMW000000035582001,93521.22987829341
GMW000000035583001,93233.12908315737
GMW000000035584001,93189.22967137917
GMW000000035585001,93313.54321008633
GMW000000035586001,93287.62338938349
GMW000000035587001,93689.36413914402
GMW000000035588001,93353.82330615398
GMW000000035589001,93608.00394484517
GMW000000035590001,93404.55298774695
GMW000000035591001,93663.54560739378
GMW000000035592001,93820.80457409169
GMW000000035593001,93203.07041460436
GMW000000035594001,93501.7153695087
GMW000000035595001,93512.53541110366
GMW000000035596001,93564.75126084324
GMW000000035597001,93427.71079158847
GMW000000035598001,93070.87999531996
GMW000000035599001,93167.3395439706
GMW000000035600001,93505.4532526999
GMW000000035662001,95282.24711584076
GMW000000035663001,95082.10459558966
GMW000000035664001,95550.50972443893
GMW000000035665001,95352.36624490705
GMW000000035666001,95336.07476436903
GMW000000035667001,88480.37141678775
GMW000000035668001,95002.62222231965
GMW000000035669001,88754.9172607057
GMW000000035670001,95265.45399112624
GMW000000035671001,88637.57728811871
GMW000000035672001,88245.42572950106
GMW000000035673001,95114.30093387427
GMW000000035674001,88744.83711829348
GMW000000035675001,95118.42738736252
GMW000000035676001,93009.33791729205
GMW000000035677001,93403.3207496006
GMW000000035678001,93306.90923154974
GMW000000035679001,93047.35476814766
GMW000000035680001,94428.8749737021
GMW000000035681001,93803.63106770293
GMW000000035682001,93229.6078031269
GMW000000035683001,94310.65980246781
GMW000000035684001,94700.72382757216
GMW000000035685001,94373.91344567067
GMW000000035686001,94636.00375497933
GMW000000035687001,94718.95214970235
GMW000000035688001,94009.20551038298
GMW000000035689001,94042.18742838952
GMW000000035690001,95577.16048089907
GMW000000035691001,95750.9611979766
GMW000000035692001,94279.84185458999
GMW000000035693001,94650.66423123077
GMW000000035694001,95721.25039028318
GMW000000035695001,95606.44882709414
GMW000000035696001,95096.12669092492
GMW000000035697001,95966.72162938294
GMW000000035698001,90941.5324710841
GMW000000035699001,96918.30325812334
GMW000000035700001,90706.64182805005
GMW000000035701001,96996.92428793837
GMW000000035702001,96414.07165490507
GMW000000035703001,90314.37013878116
GMW000000035704001,96947.5444248793
GMW000000035705001,90479.31035272428
GMW000000035706001,96185.22908696366
