date,unit
GMW000000036081001,m NAP
GMW000000036082001,m NAP
GMW000000036083001,m NAP
GMW000000036084001,m NAP
GMW000000036085001,m NAP
GMW000000036086001,m NAP
GMW000000036087001,m NAP
GMW000000036088001,m NAP
GMW000000036089001,m NAP
GMW000000036090001,m NAP
GMW000000036091001,m NAP
GMW000000036092001,m NAP
GMW000000036093001,m NAP
GMW000000036094001,m NAP
GMW000000036095001,m NAP
GMW000000036096001,m NAP
GMW000000036097001,m NAP
GMW000000036098001,m NAP
GMW000000036099001,m NAP
GMW000000036100001,m NAP
GMW000000036101001,m NAP
GMW000000036102001,m NAP
GMW000000036103001,m NAP
GMW000000036104001,m NAP
GMW000000036105001,m NAP
GMW000000036106001,m NAP
GMW000000036107001,m NAP
GMW000000036108001,m NAP
GMW000000036109001,m NAP
GMW000000036110001,m NAP
GMW000000036111001,m NAP
GMW000000036112001,m NAP
GMW000000036113001,m NAP
GMW000000036114001,m NAP
GMW000000036115001,m NAP
GMW000000036116001,m NAP
GMW000000036117001,m NAP
GMW000000036118001,m NAP
GMW000000036119001,m NAP
GMW000000036120001,m NAP
GMW000000036121001,m NAP
GMW000000036122001,m NAP
GMW000000036123001,m NAP
GMW000000036124001,m NAP
GMW000000036125001,m NAP
GMW000000036126001,m NAP
GMW000000036127001,m NAP
GMW000000036128001,m NAP
GMW000000036129001,m NAP
GMW000000036130001,m NAP
GMW000000036131001,m NAP
GMW000000036132001,m NAP
GMW000000036133001,m NAP
GMW000000036142001,m NAP
GMW000000036143001,m NAP
GMW000000036144001,m NAP
GMW000000036145001,m NAP
GMW000000036146001,m NAP
GMW000000036147001,m NAP
GMW000000036148001,m NAP
GMW000000036149001,m NAP
GMW000000036150001,m NAP
GMW000000036151001,m NAP
GMW000000036152001,m NAP
GMW000000036153001,m NAP
GMW000000036154001,m NAP
GMW000000036155001,m NAP
GMW000000036156001,m NAP
GMW000000036157001,m NAP
GMW000000036158001,m NAP
GMW000000036159001,m NAP
GMW000000036160001,m NAP
GMW000000036161001,m NAP
GMW000000036162001,m NAP
GMW000000036163001,m NAP
GMW000000036164001,m NAP
GMW000000036165001,m NAP
GMW000000036166001,m NAP
GMW000000036167001,m NAP
GMW000000036168001,m NAP
GMW000000036169001,m NAP
GMW000000036170001,m NAP
GMW000000036171001,m NAP
GMW000000036172001,m NAP
GMW000000036173001,m NAP
GMW000000036174001,m NAP
GMW000000036175001,m NAP
GMW000000036176001,m NAP
GMW000000036177001,m NAP
GMW000000036178001,m NAP
GMW000000036179001,m NAP
GMW000000036180001,m NAP
GMW000000036181001,m NAP
GMW000000036182001,m NAP
GMW000000036183001,m NAP
GMW000000036184001,m NAP
GMW000000036185001,m NAP
GMW000000036186001,m NAP
GMW000000036187001,m NAP
GMW000000036188001,m NAP
GMW000000036189001,m NAP
GMW000000036190001,m NAP
GMW000000036191001,m NAP
GMW000000036192001,m NAP
GMW000000036193001,m NAP
GMW000000036194001,m NAP
GMW000000036195001,m NAP
GMW000000036196001,m NAP
GMW000000036197001,m NAP
GMW000000036198001,m NAP
GMW000000036199001,m NAP
GMW000000036200001,m NAP
GMW000000036201001,m NAP
GMW000000036202001,m NAP
GMW000000036203001,m NAP
GMW000000036204001,m NAP
GMW000000036205001,m NAP
GMW000000036206001,m NAP
GMW000000036207001,m NAP
GMW000000036208001,m NAP
GMW000000036209001,m NAP
GMW000000036210001,m NAP
GMW000000036211001,m NAP
GMW000000036212001,m NAP
GMW000000036213001,m NAP
GMW000000036214001,m NAP
GMW000000036215001,m NAP
GMW000000036216001,m NAP
GMW000000036217001,m NAP
GMW000000036218001,m NAP
GMW000000036219001,m NAP
GMW000000036220001,m NAP
GMW000000036221001,m NAP
GMW000000036222001,m NAP
GMW000000036223001,m NAP
GMW000000036224001,m NAP
GMW000000036225001,m NAP
GMW000000036226001,m NAP
GMW000000036227001,m NAP
GMW000000036228001,m NAP
GMW000000036229001,m NAP
GMW000000036230001,m NAP
GMW000000036231001,m NAP
GMW000000036232001,m NAP
GMW000000036233001,m NAP
GMW000000036234001,m NAP
GMW000000036235001,m NAP
GMW000000036236001,m NAP
GMW000000036237001,m NAP
GMW000000036238001,m NAP
GMW000000036239001,m NAP
GMW000000036240001,m NAP
GMW000000036241001,m NAP
GMW000000036242001,m NAP
GMW000000036243001,m NAP
GMW000000036244001,m NAP
GMW000000036245001,m NAP
GMW000000036246001,m NAP
GMW000000036247001,m NAP
GMW000000036248001,m NAP
GMW000000036249001,m NAP
GMW000000036250001,m NAP
GMW000000036251001,m NAP
GMW000000036252001,m NAP
GMW000000036253001,m NAP
GMW000000036254001,m NAP
GMW000000036255001,m NAP
GMW000000036256001,m NAP
GMW000000036257001,m NAP
GMW000000036258001,m NAP
GMW000000036259001,m NAP
GMW000000036260001,m NAP
GMW000000036261001,m NAP
GMW000000036262001,m NAP
GMW000000036263001,m NAP
GMW000000036264001,m NAP
GMW000000036265001,m NAP
GMW000000036266001,m NAP
GMW000000036267001,m NAP
GMW000000036268001,m NAP
GMW000000036269001,m NAP
GMW000000036270001,m NAP
GMW000000036271001,m NAP
GMW000000036272001,m NAP
GMW000000036273001,m NAP
GMW000000036274001,m NAP
GMW000000036275001,m NAP
GMW000000036276001,m NAP
GMW000000036277001,m NAP
GMW000000036278001,m NAP
GMW000000036441001,m NAP
GMW000000036442001,m NAP
GMW000000036443001,m NAP
GMW000000036444001,m NAP
GMW000000036445001,m NAP
GMW000000036446001,m NAP
GMW000000036447001,m NAP
GMW000000036448001,m NAP
GMW000000036449001,m NAP
GMW000000036450001,m NAP
GMW000000036451001,m NAP
GMW000000036452001,m NAP
GMW000000036453001,m NAP
GMW000000036454001,m NAP
GMW000000036455001,m NAP
GMW000000036456001,m NAP
GMW000000036457001,m NAP
GMW000000036458001,m NAP
GMW000000036459001,m NAP
GMW000000036460001,m NAP
GMW000000036461001,m NAP
GMW000000036462001,m NAP
GMW000000036463001,m NAP
GMW000000036464001,m NAP
GMW000000036465001,m NAP
GMW000000036466001,m NAP
GMW000000036467001,m NAP
GMW000000036468001,m NAP
GMW000000036469001,m NAP
GMW000000036470001,m NAP
GMW000000036471001,m NAP
GMW000000036472001,m NAP
GMW000000036473001,m NAP
GMW000000036474001,m NAP
GMW000000036475001,m NAP
GMW000000036476001,m NAP
GMW000000036477001,m NAP
GMW000000036478001,m NAP
GMW000000036479001,m NAP
GMW000000036480001,m NAP
GMW000000036481001,m NAP
GMW000000036482001,m NAP
GMW000000036483001,m NAP
GMW000000036484001,m NAP
GMW000000036485001,m NAP
GMW000000036486001,m NAP
GMW000000036487001,m NAP
GMW000000036488001,m NAP
GMW000000036489001,m NAP
GMW000000036490001,m NAP
GMW000000036491001,m NAP
GMW000000036492001,m NAP
GMW000000036493001,m NAP
GMW000000036494001,m NAP
GMW000000036495001,m NAP
GMW000000036496001,m NAP
GMW000000036497001,m NAP
GMW000000036498001,m NAP
GMW000000036499001,m NAP
GMW000000036500001,m NAP
GMW000000036501001,m NAP
GMW000000036502001,m NAP
GMW000000036503001,m NAP
GMW000000036504001,m NAP
GMW000000036505001,m NAP
GMW000000036506001,m NAP
GMW000000036507001,m NAP
GMW000000036508001,m NAP
GMW000000036509001,m NAP
GMW000000036510001,m NAP
GMW000000036511001,m NAP
GMW000000036512001,m NAP
GMW000000036513001,m NAP
GMW000000036514001,m NAP
GMW000000036515001,m NAP
GMW000000036516001,m NAP
GMW000000036517001,m NAP
GMW000000036518001,m NAP
GMW000000036519001,m NAP
GMW000000036520001,m NAP
GMW000000036521001,m NAP
GMW000000036522001,m NAP
GMW000000036523001,m NAP
GMW000000036524001,m NAP
GMW000000036525001,m NAP
GMW000000036526001,m NAP
GMW000000036527001,m NAP
GMW000000036528001,m NAP
GMW000000036529001,m NAP
GMW000000036530001,m NAP
GMW000000036531001,m NAP
GMW000000036532001,m NAP
GMW000000036533001,m NAP
GMW000000036534001,m NAP
GMW000000036535001,m NAP
GMW000000036536001,m NAP
GMW000000036537001,m NAP
GMW000000036538001,m NAP
GMW000000036539001,m NAP
GMW000000036540001,m NAP
GMW000000036541001,m NAP
GMW000000036542001,m NAP
GMW000000036543001,m NAP
GMW000000036544001,m NAP
GMW000000036545001,m NAP
GMW000000036546001,m NAP
GMW000000036547001,m NAP
GMW000000036548001,m NAP
GMW000000036549001,m NAP
GMW000000036550001,m NAP
GMW000000036551001,m NAP
GMW000000036552001,m NAP
GMW000000036553001,m NAP
GMW000000036554001,m NAP
GMW000000036555001,m NAP
GMW000000036556001,m NAP
GMW000000036557001,m NAP
GMW000000036558001,m NAP
GMW000000036559001,m NAP
GMW000000036560001,m NAP
GMW000000036561001,m NAP
GMW000000036562001,m NAP
GMW000000036563001,m NAP
GMW000000036564001,m NAP
GMW000000036565001,m NAP
GMW000000036566001,m NAP
GMW000000036567001,m NAP
GMW000000036568001,m NAP
GMW000000036569001,m NAP
GMW000000036570001,m NAP
GMW000000036571001,m NAP
GMW000000036572001,m NAP
GMW000000036573001,m NAP
GMW000000036574001,m NAP
GMW000000036575001,m NAP
GMW000000036576001,m NAP
GMW000000036577001,m NAP
GMW000000036578001,m NAP
GMW000000036579001,m NAP
GMW000000036580001,m NAP
GMW000000036581001,m NAP
GMW000000036582001,m NAP
GMW000000036583001,m NAP
GMW000000036584001,m NAP
GMW000000036585001,m NAP
GMW000000036586001,m NAP
GMW000000036587001,m NAP
GMW000000036588001,m NAP
