date,source
GMW000000036261001,lizard
GMW000000036262001,lizard
GMW000000036263001,lizard
GMW000000036264001,lizard
GMW000000036265001,lizard
GMW000000036266001,lizard
GMW000000036267001,lizard
GMW000000036268001,lizard
GMW000000036269001,lizard
GMW000000036270001,lizard
GMW000000036271001,lizard
GMW000000036272001,lizard
GMW000000036273001,lizard
GMW000000036274001,lizard
GMW000000036275001,lizard
GMW000000036276001,lizard
GMW000000036277001,lizard
GMW000000036278001,lizard
GMW000000036441001,lizard
GMW000000036442001,lizard
GMW000000036443001,lizard
GMW000000036444001,lizard
GMW000000036445001,lizard
GMW000000036446001,lizard
GMW000000036447001,lizard
GMW000000036448001,lizard
GMW000000036449001,lizard
GMW000000036450001,lizard
GMW000000036451001,lizard
GMW000000036452001,lizard
GMW000000036453001,lizard
GMW000000036454001,lizard
GMW000000036455001,lizard
GMW000000036456001,lizard
GMW000000036457001,lizard
GMW000000036458001,lizard
GMW000000036459001,lizard
GMW000000036460001,lizard
GMW000000036461001,lizard
GMW000000036462001,lizard
GMW000000036463001,lizard
GMW000000036464001,lizard
GMW000000036465001,lizard
GMW000000036466001,lizard
GMW000000036467001,lizard
GMW000000036468001,lizard
GMW000000036469001,lizard
GMW000000036470001,lizard
GMW000000036471001,lizard
GMW000000036472001,lizard
GMW000000036473001,lizard
GMW000000036474001,lizard
GMW000000036475001,lizard
GMW000000036476001,lizard
GMW000000036477001,lizard
GMW000000036478001,lizard
GMW000000036479001,lizard
GMW000000036480001,lizard
GMW000000036481001,lizard
GMW000000036482001,lizard
GMW000000036483001,lizard
GMW000000036484001,lizard
GMW000000036485001,lizard
GMW000000036486001,lizard
GMW000000036487001,lizard
GMW000000036488001,lizard
GMW000000036489001,lizard
GMW000000036490001,lizard
GMW000000036491001,lizard
GMW000000036492001,lizard
GMW000000036493001,lizard
GMW000000036494001,lizard
GMW000000036495001,lizard
GMW000000036496001,lizard
GMW000000036497001,lizard
GMW000000036498001,lizard
GMW000000036499001,lizard
GMW000000036500001,lizard
GMW000000036501001,lizard
GMW000000036502001,lizard
GMW000000036503001,lizard
GMW000000036504001,lizard
GMW000000036505001,lizard
GMW000000036506001,lizard
GMW000000036507001,lizard
GMW000000036508001,lizard
GMW000000036509001,lizard
GMW000000036510001,lizard
GMW000000036511001,lizard
GMW000000036512001,lizard
GMW000000036513001,lizard
GMW000000036514001,lizard
GMW000000036515001,lizard
GMW000000036516001,lizard
GMW000000036517001,lizard
GMW000000036518001,lizard
GMW000000036519001,lizard
GMW000000036520001,lizard
GMW000000036521001,lizard
GMW000000036522001,lizard
GMW000000036523001,lizard
GMW000000036524001,lizard
GMW000000036525001,lizard
GMW000000036526001,lizard
GMW000000036527001,lizard
GMW000000036528001,lizard
GMW000000036529001,lizard
GMW000000036530001,lizard
GMW000000036531001,lizard
GMW000000036532001,lizard
GMW000000036533001,lizard
GMW000000036534001,lizard
GMW000000036535001,lizard
GMW000000036536001,lizard
GMW000000036537001,lizard
GMW000000036538001,lizard
GMW000000036539001,lizard
GMW000000036540001,lizard
GMW000000036541001,lizard
GMW000000036542001,lizard
GMW000000036543001,lizard
GMW000000036544001,lizard
GMW000000036545001,lizard
GMW000000036546001,lizard
GMW000000036547001,lizard
GMW000000036548001,lizard
GMW000000036549001,lizard
GMW000000036550001,lizard
GMW000000036551001,lizard
GMW000000036552001,lizard
GMW000000036553001,lizard
GMW000000036554001,lizard
GMW000000036555001,lizard
GMW000000036556001,lizard
GMW000000036557001,lizard
GMW000000036558001,lizard
GMW000000036559001,lizard
GMW000000036560001,lizard
GMW000000036561001,lizard
GMW000000036562001,lizard
GMW000000036563001,lizard
GMW000000036564001,lizard
GMW000000036565001,lizard
GMW000000036566001,lizard
GMW000000036567001,lizard
GMW000000036568001,lizard
GMW000000036569001,lizard
GMW000000036570001,lizard
GMW000000036571001,lizard
GMW000000036572001,lizard
GMW000000036573001,lizard
GMW000000036574001,lizard
GMW000000036575001,lizard
GMW000000036576001,lizard
